smoothing_kernel,functional_kernel,l,mse,coef0,degree,gamma
rbf,rbf,0.01,0.0529230303291411,,,
rbf,rbf,0.1,0.052873090175358455,,,
rbf,rbf,1.0,0.05281364179816452,,,
rbf,rbf,5.0,0.05280832222025491,,,
rbf,rbf,10.0,0.05280811151171497,,,
rbf,polynomial,,0.052869318494826074,0.25,1.0,0.0001
rbf,polynomial,,0.052822634073283255,0.25,2.0,0.0001
rbf,polynomial,,0.052811783358430606,0.25,3.0,0.0001
rbf,polynomial,,0.05280855775156087,0.25,4.0,0.0001
rbf,polynomial,,0.052807512800775044,0.25,5.0,0.0001
rbf,polynomial,,0.05286931849460103,0.5,1.0,0.0001
rbf,polynomial,,0.05282131318978124,0.5,2.0,0.0001
rbf,polynomial,,0.05281098156256788,0.5,3.0,0.0001
rbf,polynomial,,0.052808173329805044,0.5,4.0,0.0001
rbf,polynomial,,0.052807346696645156,0.5,5.0,0.0001
rbf,polynomial,,0.05286931849425848,1.0,1.0,0.0001
rbf,polynomial,,0.05281926221216216,1.0,2.0,0.0001
rbf,polynomial,,0.052809885906553944,1.0,3.0,0.0001
rbf,polynomial,,0.05280771509187313,1.0,4.0,0.0001
rbf,polynomial,,0.05280717397673002,1.0,5.0,0.0001
rbf,polynomial,,0.05286931849324616,5.0,1.0,0.0001
rbf,polynomial,,0.0528128227240548,5.0,2.0,0.0001
rbf,polynomial,,0.052807622614877946,5.0,3.0,0.0001
rbf,polynomial,,0.05280706731242773,5.0,4.0,0.0001
rbf,polynomial,,0.052807003768713216,5.0,5.0,0.0001
rbf,polynomial,,0.05282222777387198,0.25,1.0,0.0005
rbf,polynomial,,0.05280784027303784,0.25,2.0,0.0005
rbf,polynomial,,0.05280704546961219,0.25,3.0,0.0005
rbf,polynomial,,0.05280699994101066,0.25,4.0,0.0005
rbf,polynomial,,0.0528069975523601,0.25,5.0,0.0005
rbf,polynomial,,0.052822227773871216,0.5,1.0,0.0005
rbf,polynomial,,0.05280782311360926,0.5,2.0,0.0005
rbf,polynomial,,0.052807043448393605,0.5,3.0,0.0005
rbf,polynomial,,0.052806999774963045,0.5,4.0,0.0005
rbf,polynomial,,0.052806997537445666,0.5,5.0,0.0005
rbf,polynomial,,0.05282222777387047,1.0,1.0,0.0005
rbf,polynomial,,0.05280779091338284,1.0,2.0,0.0005
rbf,polynomial,,0.05280703977627486,1.0,3.0,0.0005
rbf,polynomial,,0.052806999483735594,1.0,4.0,0.0005
rbf,polynomial,,0.05280699751208536,1.0,5.0,0.0005
rbf,polynomial,,0.052822227773859226,5.0,1.0,0.0005
rbf,polynomial,,0.05280760489905738,5.0,2.0,0.0005
rbf,polynomial,,0.052807021621040666,5.0,3.0,0.0005
rbf,polynomial,,0.05280699826025143,5.0,4.0,0.0005
rbf,polynomial,,0.052806997418980144,5.0,5.0,0.0005
rbf,polynomial,,0.052815128879008286,0.25,1.0,0.001
rbf,polynomial,,0.05280722434806549,0.25,2.0,0.001
rbf,polynomial,,0.05280700263203104,0.25,3.0,0.001
rbf,polynomial,,0.052806997537541416,0.25,4.0,0.001
rbf,polynomial,,0.052806997381885656,0.25,5.0,0.001
rbf,polynomial,,0.052815128879008,0.5,1.0,0.001
rbf,polynomial,,0.052807222090450086,0.5,2.0,0.001
rbf,polynomial,,0.052807002516105817,0.5,3.0,0.001
rbf,polynomial,,0.05280699753225948,0.5,4.0,0.001
rbf,polynomial,,0.05280699738164644,0.5,5.0,0.001
rbf,polynomial,,0.05281512887900922,1.0,1.0,0.001
rbf,polynomial,,0.05280721771905335,1.0,2.0,0.001
rbf,polynomial,,0.05280700229556716,1.0,3.0,0.001
rbf,polynomial,,0.05280699752237752,1.0,4.0,0.001
rbf,polynomial,,0.052806997381236453,1.0,5.0,0.001
rbf,polynomial,,0.05281512887901071,5.0,1.0,0.001
rbf,polynomial,,0.05280718844350557,5.0,2.0,0.001
rbf,polynomial,,0.05280700095108217,5.0,3.0,0.001
rbf,polynomial,,0.05280699746701113,5.0,4.0,0.001
rbf,polynomial,,0.05280699737904303,5.0,5.0,0.001
