kernel,l,mse,coef0,degree,gamma
rbf,0.01,0.0015425240560597079,,,
rbf,0.1,0.0002344763183109147,,,
rbf,1.0,5.099525958636126e-05,,,
rbf,5.0,0.005211278637943812,,,
rbf,10.0,0.01380935311994807,,,
poly,,0.039668740772138104,0.25,1.0,0.0001
poly,,0.038400017784587945,0.25,2.0,0.0001
poly,,0.038745305227200884,0.25,3.0,0.0001
poly,,0.03938845312581384,0.25,4.0,0.0001
poly,,0.040200931877611056,0.25,5.0,0.0001
poly,,0.03966873443961704,0.5,1.0,0.0001
poly,,0.03839265726462841,0.5,2.0,0.0001
poly,,0.03780586027501944,0.5,3.0,0.0001
poly,,0.037811373413661094,0.5,4.0,0.0001
poly,,0.03811448918984714,0.5,5.0,0.0001
poly,,0.03966873200610047,1.0,1.0,0.0001
poly,,0.03839071460780915,1.0,2.0,0.0001
poly,,0.03620499286246593,1.0,3.0,0.0001
poly,,0.0336334462466038,1.0,4.0,0.0001
poly,,0.03111947793460445,1.0,5.0,0.0001
poly,,0.03966873041127106,5.0,1.0,0.0001
poly,,0.038390096364152644,5.0,2.0,0.0001
poly,,0.028926804031699428,5.0,3.0,0.0001
poly,,0.021674624296359458,5.0,4.0,0.0001
poly,,0.02115700737532864,5.0,5.0,0.0001
poly,,0.03966690085205595,0.25,1.0,0.0005
poly,,0.02630001427566067,0.25,2.0,0.0005
poly,,0.02778749020386707,0.25,3.0,0.0005
poly,,0.03173595341820577,0.25,4.0,0.0005
poly,,0.036222216420850384,0.25,5.0,0.0005
poly,,0.039666894519534805,0.5,1.0,0.0005
poly,,0.02627894440277889,0.5,2.0,0.0005
poly,,0.024486617807194345,0.5,3.0,0.0005
poly,,0.02445485149779949,0.5,4.0,0.0005
poly,,0.025198119744775514,0.5,5.0,0.0005
poly,,0.039666892086018334,1.0,1.0,0.0005
poly,,0.026273699793757193,1.0,2.0,0.0005
poly,,0.022512077742819117,1.0,3.0,0.0005
poly,,0.021494406029467873,1.0,4.0,0.0005
poly,,0.020979246015305313,1.0,5.0,0.0005
poly,,0.039666890491189544,5.0,1.0,0.0005
poly,,0.02627202910849506,5.0,2.0,0.0005
poly,,0.02128120118962969,5.0,3.0,0.0005
poly,,0.020440380800353382,5.0,4.0,0.0005
poly,,0.01833019602844516,5.0,5.0,0.0005
poly,,0.03966684867750251,0.25,1.0,0.001
poly,,0.02211662585188273,0.25,2.0,0.001
poly,,0.022315054516789813,0.25,3.0,0.001
poly,,0.024691208290837232,0.25,4.0,0.001
poly,,0.03025804273701644,0.25,5.0,0.001
poly,,0.03966684234498152,0.5,1.0,0.001
poly,,0.022099422756161266,0.5,2.0,0.001
poly,,0.02133150589375127,0.5,3.0,0.001
poly,,0.02103974878158357,0.5,4.0,0.001
poly,,0.02109387619597744,0.5,5.0,0.001
poly,,0.039666839911464996,1.0,1.0,0.001
poly,,0.022095172467431538,1.0,2.0,0.001
poly,,0.02101152968717063,1.0,3.0,0.001
poly,,0.020119363000316776,1.0,4.0,0.001
poly,,0.019199717913016567,1.0,5.0,0.001
poly,,0.03966683831663552,5.0,1.0,0.001
poly,,0.022093819544044314,5.0,2.0,0.001
poly,,0.02088798617488266,5.0,3.0,0.001
poly,,0.018618384315678832,5.0,4.0,0.001
poly,,0.01766126667995147,5.0,5.0,0.001
poly,,0.03966683807032896,0.25,1.0,0.005
poly,,0.02124998791495008,0.25,2.0,0.005
poly,,0.018041065809820747,0.25,3.0,0.005
poly,,0.015473621202098109,0.25,4.0,0.005
poly,,0.018931475580877818,0.25,5.0,0.005
poly,,0.03966683173780797,0.5,1.0,0.005
poly,,0.02124829095481433,0.5,2.0,0.005
poly,,0.018005370695930147,0.5,3.0,0.005
poly,,0.014239338752943954,0.5,4.0,0.005
poly,,0.01269760731639515,0.5,5.0,0.005
poly,,0.03966682930429132,1.0,1.0,0.005
poly,,0.02124795925608223,1.0,2.0,0.005
poly,,0.01800015093067038,1.0,3.0,0.005
