kernel,l,mse,coef0,degree,gamma
rbf,0.01,0.05811534905628501,,,
rbf,0.1,0.03767844461920197,,,
rbf,1.0,0.005358995185368709,,,
rbf,5.0,0.542774837608657,,,
rbf,10.0,1.179538799892211,,,
polynomial,,1.378222548025416,0.25,1.0,0.0001
polynomial,,1.3723027359257216,0.25,2.0,0.0001
polynomial,,1.357123565003408,0.25,3.0,0.0001
polynomial,,1.3572744609716365,0.25,4.0,0.0001
polynomial,,1.357207336353629,0.25,5.0,0.0001
polynomial,,1.3782225804058073,0.5,1.0,0.0001
polynomial,,1.3722841236165486,0.5,2.0,0.0001
polynomial,,1.353880264815266,0.5,3.0,0.0001
polynomial,,1.351724934335906,0.5,4.0,0.0001
polynomial,,1.3473200097497264,0.5,5.0,0.0001
polynomial,,1.3782225996536435,1.0,1.0,0.0001
polynomial,,1.3722791148832372,1.0,2.0,0.0001
polynomial,,1.3521899198152019,1.0,3.0,0.0001
polynomial,,1.3472087018837269,1.0,4.0,0.0001
polynomial,,1.333563571855906,1.0,5.0,0.0001
polynomial,,1.3782226165240086,5.0,1.0,0.0001
polynomial,,1.3722767619769047,5.0,2.0,0.0001
polynomial,,1.351028234202107,5.0,3.0,0.0001
polynomial,,1.3415889929862803,5.0,4.0,0.0001
polynomial,,1.3204576209982575,5.0,5.0,0.0001
polynomial,,1.378222665549679,0.25,1.0,0.0005
polynomial,,1.3722773823200298,0.25,2.0,0.0005
polynomial,,1.3502436312514792,0.25,3.0,0.0005
polynomial,,1.3410566478463088,0.25,4.0,0.0005
polynomial,,1.3325472442634285,0.25,5.0,0.0005
polynomial,,1.3782227007280472,0.5,1.0,0.0005
polynomial,,1.372275740415988,0.5,2.0,0.0005
polynomial,,1.3497700626487885,0.5,3.0,0.0005
polynomial,,1.3241399377384175,0.5,4.0,0.0005
polynomial,,1.3170650369973051,0.5,5.0,0.0005
polynomial,,1.3782227213825649,1.0,1.0,0.0005
polynomial,,1.372275713691099,1.0,2.0,0.0005
polynomial,,1.3497310218179546,1.0,3.0,0.0005
polynomial,,1.3204762788102586,1.0,4.0,0.0005
polynomial,,1.3103155142393748,1.0,5.0,0.0005
polynomial,,1.378222739381996,5.0,1.0,0.0005
polynomial,,1.3722758053450572,5.0,2.0,0.0005
polynomial,,1.3497265079919896,5.0,3.0,0.0005
polynomial,,1.320088852481579,5.0,4.0,0.0005
polynomial,,1.3084099900870514,5.0,5.0,0.0005
polynomial,,1.3782226823104258,0.25,1.0,0.001
polynomial,,1.3722766146840428,0.25,2.0,0.001
polynomial,,1.3499565048791755,0.25,3.0,0.001
polynomial,,1.333207013879234,0.25,4.0,0.001
polynomial,,1.3278676526257394,0.25,5.0,0.001
polynomial,,1.3782227178417579,0.5,1.0,0.001
polynomial,,1.3722756943937258,0.5,2.0,0.001
polynomial,,1.3497356184178713,0.5,3.0,0.001
