,c_value,d_value,gamma_value,mse
0,0.25,1,0.0001,0.45404600374738996
1,0.25,2,0.0001,0.4642912814458506
2,0.25,3,0.0001,0.46436412877049327
3,0.25,4,0.0001,0.464363102767931
4,0.25,5,0.0001,0.46436332362884075
5,0.5,1,0.0001,0.45404601381300974
6,0.5,2,0.0001,0.46429260072605805
7,0.5,3,0.0001,0.46436441809334583
8,0.5,4,0.0001,0.4643632373037208
9,0.5,5,0.0001,0.4643633784736967
10,1.0,1,0.0001,0.45404602915537995
11,1.0,2,0.0001,0.4642947307859845
12,1.0,3,0.0001,0.46436477219327316
13,1.0,4,0.0001,0.4643633855811064
14,1.0,5,0.0001,0.46436343065046287
15,5.0,1,0.0001,0.45404607467793995
16,5.0,2,0.0001,0.4643026224912342
17,5.0,3,0.0001,0.46436516683391466
18,5.0,4,0.0001,0.4643635363725269
19,5.0,5,0.0001,0.4643634671180866
20,0.25,1,0.0005,0.45409770688846374
21,0.25,2,0.0005,0.4643603757693661
22,0.25,3,0.0005,0.4643634196965767
23,0.25,4,0.0005,0.46436346107431237
24,0.25,5,0.0005,0.46436346360375164
25,0.5,1,0.0005,0.4540977074014561
26,0.5,2,0.0005,0.464360390328713
27,0.5,3,0.0005,0.46436342050123913
28,0.5,4,0.0005,0.46436346117029487
29,0.5,5,0.0005,0.46436346361023845
30,1.0,1,0.0005,0.4540977083669904
31,1.0,2,0.0005,0.4643604179679055
32,1.0,3,0.0005,0.46436342196797886
33,1.0,4,0.0005,0.46436346133941586
34,1.0,5,0.0005,0.4643634636216225
35,5.0,1,0.0005,0.45409771387413833
36,5.0,2,0.0005,0.46436058733778557
37,5.0,3,0.0005,0.4643634294804108
38,5.0,4,0.0005,0.46436346211780366
39,5.0,5,0.0005,0.46436346365904957
40,0.25,1,0.001,0.45410433063617583
41,0.25,2,0.001,0.4643626885007688
42,0.25,3,0.001,0.4643634574025857
43,0.25,4,0.001,0.4643634634911786
44,0.25,5,0.001,0.46436346368119436
45,0.5,1,0.001,0.45410433077029905
46,0.5,2,0.001,0.4643626903804899
47,0.5,3,0.001,0.46436345745888397
48,0.5,4,0.001,0.46436346349371516
49,0.5,5,0.001,0.46436346367948483
50,1.0,1,0.001,0.45410433102900233
51,1.0,2,0.001,0.46436269404042907
52,1.0,3,0.001,0.4643634575667541
53,1.0,4,0.001,0.4643634634991882
54,1.0,5,0.001,0.4643634636879038
55,5.0,1,0.001,0.4541043327375321
56,5.0,2,0.001,0.46436271930516065
57,5.0,3,0.001,0.46436345824196645
58,5.0,4,0.001,0.4643634635385981
59,5.0,5,0.001,0.4643634636782225
60,0.25,1,0.005,0.4541096561172125
61,0.25,2,0.005,0.46436343259132773
62,0.25,3,0.005,0.4643634636258654
63,0.25,4,0.005,0.46436346367700776
64,0.25,5,0.005,0.46436346438474163
65,0.5,1,0.005,0.4541096561214671
66,0.5,2,0.005,0.4643634326067244
67,0.5,3,0.005,0.46436346362604636
68,0.5,4,0.005,0.46436346367693065
69,0.5,5,0.005,0.4643634636397659
70,1.0,1,0.005,0.45410965614121507
71,1.0,2,0.005,0.4643634326373495
72,1.0,3,0.005,0.46436346362610004
73,1.0,4,0.005,0.46436346367752823
74,1.0,5,0.005,0.46436346557696484
75,5.0,1,0.005,0.4541096562324484
76,5.0,2,0.005,0.4643634328745695
77,5.0,3,0.005,0.4643634636275767
78,5.0,4,0.005,0.4643634636772282
79,5.0,5,0.005,0.4643634631425428
80,0.25,1,0.01,0.4541103234749734
81,0.25,2,0.01,0.46436345590333034
82,0.25,3,0.01,0.4643634636710487
83,0.25,4,0.01,0.46436346367382736
84,0.25,5,0.01,0.4643634626588856
85,0.5,1,0.01,0.4541103234754542
86,0.5,2,0.01,0.4643634559052591
87,0.5,3,0.01,0.4643634636710162
88,0.5,4,0.01,0.46436346365581627
89,0.5,5,0.01,0.46436346277017493
90,1.0,1,0.01,0.45411032348210373
91,1.0,2,0.01,0.4643634559091139
92,1.0,3,0.01,0.464363463670947
93,1.0,4,0.01,0.46436346367901943
94,1.0,5,0.01,0.4643634631912955
95,5.0,1,0.01,0.4541103234960068
96,5.0,2,0.01,0.4643634559394002
97,5.0,3,0.01,0.46436346367114895
98,5.0,4,0.01,0.4643634637278211
99,5.0,5,0.01,0.46436346378825205
100,0.25,1,0.05,0.45411085767792825
101,0.25,2,0.05,0.4643634633657592
102,0.25,3,0.05,0.46436346367747877
103,0.25,4,0.05,0.4643634637711149
104,0.25,5,0.05,0.4643634602280359
105,0.5,1,0.05,0.4541108576002288
106,0.5,2,0.05,0.4643634633657691
