,c_value,gamma_value,mse
0,0.25,0.0001,14.94887495162355
1,0.5,0.0001,14.968075982039183
2,1.0,0.0001,14.894121716537716
3,5.0,0.0001,15.159355573112345
4,0.25,0.0005,14.907004986966841
5,0.5,0.0005,15.037963672104993
6,1.0,0.0005,15.018883434397193
7,5.0,0.0005,14.932102689613865
8,0.25,0.001,14.915751370194746
9,0.5,0.001,14.959481120670342
10,1.0,0.001,14.901175094099951
11,5.0,0.001,14.93214178566384
12,0.25,0.005,14.869726022051953
13,0.5,0.005,14.869364676280977
14,1.0,0.005,14.875227478159859
15,5.0,0.005,14.888632616767795
16,0.25,0.01,14.8683299788406
17,0.5,0.01,14.868291295475052
18,1.0,0.01,15.012211841542419
19,5.0,0.01,14.867956278681246
20,0.25,0.05,14.868012798763564
21,0.5,0.05,14.865372827822725
22,1.0,0.05,14.869406066774001
23,5.0,0.05,14.877528509396223
24,0.25,0.1,14.864970375154979
25,0.5,0.1,14.865025353120426
26,1.0,0.1,14.865170340023147
27,5.0,0.1,14.866544038959015
