,c_value,d_value,gamma_value,mse
0,0.25,1,0.0001,0.039668740772138104
1,0.25,2,0.0001,0.038400017784587945
2,0.25,3,0.0001,0.038745305227200884
3,0.25,4,0.0001,0.03938845312581384
4,0.25,5,0.0001,0.040200931877611056
5,0.5,1,0.0001,0.03966873443961704
6,0.5,2,0.0001,0.03839265726462841
7,0.5,3,0.0001,0.03780586027501944
8,0.5,4,0.0001,0.037811373413661094
9,0.5,5,0.0001,0.03811448918984714
10,1.0,1,0.0001,0.03966873200610047
11,1.0,2,0.0001,0.03839071460780915
12,1.0,3,0.0001,0.03620499286246593
13,1.0,4,0.0001,0.0336334462466038
14,1.0,5,0.0001,0.03111947793460445
15,5.0,1,0.0001,0.03966873041127106
16,5.0,2,0.0001,0.038390096364152644
17,5.0,3,0.0001,0.028926804031699428
18,5.0,4,0.0001,0.021674624296359458
19,5.0,5,0.0001,0.02115700737532864
20,0.25,1,0.0005,0.03966690085205595
21,0.25,2,0.0005,0.02630001427566067
22,0.25,3,0.0005,0.02778749020386707
23,0.25,4,0.0005,0.03173595341820577
24,0.25,5,0.0005,0.036222216420850384
25,0.5,1,0.0005,0.039666894519534805
26,0.5,2,0.0005,0.02627894440277889
27,0.5,3,0.0005,0.024486617807194345
28,0.5,4,0.0005,0.02445485149779949
29,0.5,5,0.0005,0.025198119744775514
30,1.0,1,0.0005,0.039666892086018334
31,1.0,2,0.0005,0.026273699793757193
32,1.0,3,0.0005,0.022512077742819117
33,1.0,4,0.0005,0.021494406029467873
34,1.0,5,0.0005,0.020979246015305313
35,5.0,1,0.0005,0.039666890491189544
36,5.0,2,0.0005,0.02627202910849506
37,5.0,3,0.0005,0.02128120118962969
38,5.0,4,0.0005,0.020440380800353382
39,5.0,5,0.0005,0.01833019602844516
40,0.25,1,0.001,0.03966684867750251
41,0.25,2,0.001,0.02211662585188273
42,0.25,3,0.001,0.022315054516789813
43,0.25,4,0.001,0.024691208290837232
44,0.25,5,0.001,0.03025804273701644
45,0.5,1,0.001,0.03966684234498152
46,0.5,2,0.001,0.022099422756161266
47,0.5,3,0.001,0.02133150589375127
48,0.5,4,0.001,0.02103974878158357
49,0.5,5,0.001,0.02109387619597744
50,1.0,1,0.001,0.039666839911464996
51,1.0,2,0.001,0.022095172467431538
52,1.0,3,0.001,0.02101152968717063
53,1.0,4,0.001,0.020119363000316776
54,1.0,5,0.001,0.019199717913016567
55,5.0,1,0.001,0.03966683831663552
56,5.0,2,0.001,0.022093819544044314
57,5.0,3,0.001,0.02088798617488266
58,5.0,4,0.001,0.018618384315678832
59,5.0,5,0.001,0.01766126667995147
60,0.25,1,0.005,0.03966683807032896
61,0.25,2,0.005,0.02124998791495008
62,0.25,3,0.005,0.018041065809820747
63,0.25,4,0.005,0.015473621202098109
64,0.25,5,0.005,0.018931475580877818
65,0.5,1,0.005,0.03966683173780797
66,0.5,2,0.005,0.02124829095481433
67,0.5,3,0.005,0.018005370695930147
68,0.5,4,0.005,0.014239338752943954
69,0.5,5,0.005,0.01269760731639515
70,1.0,1,0.005,0.03966682930429132
71,1.0,2,0.005,0.02124795925608223
72,1.0,3,0.005,0.01800015093067038
73,1.0,4,0.005,0.014042019834413822
74,1.0,5,0.005,0.011643165567630757
75,5.0,1,0.005,0.03966682770946222
76,5.0,2,0.005,0.02124786156456184
77,5.0,3,0.005,0.017998698961664752
78,5.0,4,0.005,0.013985365370202061
79,5.0,5,0.005,0.011217649981098685
80,0.25,1,0.01,0.03966683872498848
81,0.25,2,0.01,0.021246890222660166
82,0.25,3,0.01,0.01796753650525354
83,0.25,4,0.01,0.012284770890131571
84,0.25,5,0.01,0.01416400686240232
85,0.5,1,0.01,0.03966683239246756
86,0.5,2,0.01,0.021246069824562213
87,0.5,3,0.01,0.017954855763795696
88,0.5,4,0.01,0.01160956735326328
89,0.5,5,0.01,0.008900085906156938
90,1.0,1,0.01,0.03966682995895103
91,1.0,2,0.01,0.021245959266374067
92,1.0,3,0.01,0.01795416861012918
93,1.0,4,0.01,0.011569268556907545
94,1.0,5,0.01,0.008676270699135529
95,5.0,1,0.01,0.03966682836412273
96,5.0,2,0.01,0.02124593222111622
97,5.0,3,0.01,0.017954041895071465
98,5.0,4,0.01,0.011560865512995355
99,5.0,5,0.01,0.008628516348751964
100,0.25,1,0.05,0.0396668395685151
101,0.25,2,0.05,0.021246400526468298
102,0.25,3,0.05,0.0179618041537604
103,0.25,4,0.05,0.011816350864865623
104,0.25,5,0.05,0.011311879713949497
105,0.5,1,0.05,0.03966683323599429
106,0.5,2,0.05,0.021245867648891883
107,0.5,3,0.05,0.01795326666311485
108,0.5,4,0.05,0.011506599481746163
109,0.5,5,0.05,0.008130233416082353
110,1.0,1,0.05,0.03966683080247752
111,1.0,2,0.05,0.021245829470460716
112,1.0,3,0.05,0.017953115059111915
113,1.0,4,0.05,0.011504927477453667
114,1.0,5,0.05,0.008123874339077467
115,5.0,1,0.05,0.03966682920765028
116,5.0,2,0.05,0.02124582539804064
117,5.0,3,0.05,0.017953110720449163
