,c_value,gamma_value,mse
0,0.25,0.0001,0.03998303323807458
1,0.5,0.0001,0.040169308032946924
2,1.0,0.0001,0.040115208462316546
3,5.0,0.0001,0.0406714149852517
4,0.25,0.0005,0.05079791510933137
5,0.5,0.0005,0.0625416727634079
6,1.0,0.0005,0.05802473671923923
7,5.0,0.0005,0.04064688437259638
8,0.25,0.001,0.7448024163692095
9,0.5,0.001,0.19346567787004493
10,1.0,0.001,0.6655477126331673
11,5.0,0.001,0.0406291617747962
12,0.25,0.005,0.02096080559078508
13,0.5,0.005,0.06344194159878473
14,1.0,0.005,0.018759991171895786
15,5.0,0.005,0.04101469048384095
16,0.25,0.01,0.011657202863819868
17,0.5,0.01,0.012559385678444994
18,1.0,0.01,0.015124166009655184
19,5.0,0.01,0.04312968184594863
20,0.25,0.05,0.001202592501545514
21,0.5,0.05,0.001715459082676993
22,1.0,0.05,0.0025782270235498337
23,5.0,0.05,0.06865094023701768
24,0.25,0.1,0.004333371339980664
25,0.5,0.1,0.19458637317384211
26,1.0,0.1,0.0010068135548699972
27,5.0,0.1,0.5941825926274868
