,c_value,d_value,gamma_value,mse
0,0.25,1,0.0001,2.339947008985708
1,0.25,2,0.0001,2.342671523905489
2,0.25,3,0.0001,2.3433592831877825
3,0.25,4,0.0001,2.343615038365049
4,0.25,5,0.0001,2.3436903822617072
5,0.5,1,0.0001,2.3399470180573902
6,0.5,2,0.0001,2.3434232444405723
7,0.5,3,0.0001,2.3444507950201148
8,0.5,4,0.0001,2.344946013710221
9,0.5,5,0.0001,2.345233702203107
10,1.0,1,0.0001,2.3399470274253606
11,1.0,2,0.0001,2.3442261164921954
12,1.0,3,0.0001,2.3453058342822715
13,1.0,4,0.0001,2.345714313026911
14,1.0,5,0.0001,2.3458950083880508
15,5.0,1,0.0001,2.3399470416109933
16,5.0,2,0.0001,2.345516997764988
17,5.0,3,0.0001,2.3460157171778464
18,5.0,4,0.0001,2.3460733027370866
19,5.0,5,0.0001,2.346080644179926
20,0.25,1,0.001,2.3454144766245903
21,0.25,2,0.001,2.3460336838321165
22,0.25,3,0.001,2.3460764998372685
23,0.25,4,0.001,2.3460810965132284
24,0.25,5,0.001,2.3460816674342286
25,0.5,1,0.001,2.3454144766579903
26,0.5,2,0.001,2.346035594813745
27,0.5,3,0.001,2.3460769262134766
28,0.5,4,0.001,2.3460811756691218
29,0.5,5,0.001,2.346081681489009
30,1.0,1,0.001,2.3454144767171248
31,1.0,2,0.001,2.346038985686092
32,1.0,3,0.001,2.3460776378017436
33,1.0,4,0.001,2.3460812999562046
34,1.0,5,0.001,2.346081702276475
35,5.0,1,0.001,2.345414476987517
36,5.0,2,0.001,2.346054669953096
37,5.0,3,0.001,2.346080185145306
38,5.0,4,0.001,2.3460816507179327
39,5.0,5,0.001,2.346081749511047
40,0.25,1,0.01,2.3460055504108395
41,0.25,2,0.01,2.346081321532501
42,0.25,3,0.01,2.346081752319596
43,0.25,4,0.01,2.3460817575767754
44,0.25,5,0.01,2.3460817576474855
45,0.5,1,0.01,2.346005550411082
46,0.5,2,0.01,2.3460813236354876
47,0.5,3,0.01,2.3460817523691806
48,0.5,4,0.01,2.3460817575777453
49,0.5,5,0.01,2.346081757647492
50,1.0,1,0.01,2.346005550411536
51,1.0,2,0.01,2.3460813277852592
52,1.0,3,0.01,2.3460817524664135
53,1.0,4,0.01,2.346081757579623
54,1.0,5,0.01,2.346081757647519
55,5.0,1,0.01,2.3460055504148003
56,5.0,2,0.01,2.3460813584989326
57,5.0,3,0.01,2.346081753159405
58,5.0,4,0.01,2.346081757592599
59,5.0,5,0.01,2.346081757647771
