,c_value,gamma_value,mse
0,0.25,0.0001,2.3667851453253275
1,0.5,0.0001,2.3637865810382777
2,1.0,0.0001,2.3735097562290495
3,5.0,0.0001,0.3733753960328006
4,0.25,0.0005,0.37255863928282806
5,0.5,0.0005,0.3725584158631714
6,1.0,0.0005,0.372558199043447
7,5.0,0.0005,0.37255807330479157
8,0.25,0.001,0.37255807327802837
9,0.5,0.001,0.37255807327979734
10,1.0,0.001,0.3725580732812458
11,5.0,0.001,0.3725580732812458
12,0.25,0.005,0.3725580732812458
13,0.5,0.005,0.3725580732812458
14,1.0,0.005,0.3725580732812458
15,5.0,0.005,0.3725580732812458
16,0.25,0.01,0.3725580732812458
17,0.5,0.01,0.3725580732812458
18,1.0,0.01,0.3725580732812458
19,5.0,0.01,0.3725580732812458
20,0.25,0.05,0.3725580732812458
21,0.5,0.05,0.3725580732812458
22,1.0,0.05,0.3725580732812458
23,5.0,0.05,0.3725580732812458
24,0.25,0.1,0.3725580732812458
25,0.5,0.1,0.3725580732812458
26,1.0,0.1,0.3725580732812458
27,5.0,0.1,0.3725580732812458
