,c_value,d_value,gamma_value,mse
0,0.25,1,0.0001,0.008457461535833911
1,0.25,2,0.0001,0.008201042618599273
2,0.25,3,0.0001,0.008323596255951275
3,0.25,4,0.0001,0.008686762755743413
4,0.25,5,0.0001,0.009487678983604234
5,0.5,1,0.0001,0.008457456741237646
6,0.5,2,0.0001,0.008191168411452517
7,0.5,3,0.0001,0.008070864676957624
8,0.5,4,0.0001,0.008078013431454766
9,0.5,5,0.0001,0.008156320430991272
10,1.0,1,0.0001,0.008457455077180974
11,1.0,2,0.0001,0.008188493535196576
12,1.0,3,0.0001,0.007731612985701564
13,1.0,4,0.0001,0.00719404805729847
14,1.0,5,0.0001,0.006667955267388843
15,5.0,1,0.0001,0.00845745409815888
16,5.0,2,0.0001,0.00818761875579936
17,5.0,3,0.0001,0.006211775805942918
18,5.0,4,0.0001,0.004693854654922765
19,5.0,5,0.0001,0.004538854460385069
20,0.25,1,0.0005,0.008454265080923425
21,0.25,2,0.0005,0.005667409125286797
22,0.25,3,0.0005,0.005967917470231959
23,0.25,4,0.0005,0.006858093772143318
24,0.25,5,0.0005,0.008144675846227259
25,0.5,1,0.0005,0.008454260286327162
26,0.5,2,0.0005,0.005660139362814833
27,0.5,3,0.0005,0.005261685702575102
28,0.5,4,0.0005,0.005232948800896809
29,0.5,5,0.0005,0.005381734874096967
30,1.0,1,0.0005,0.00845425862227046
31,1.0,2,0.0005,0.00565834136107536
32,1.0,3,0.0005,0.004847324573952771
33,1.0,4,0.0005,0.004561017387768434
34,1.0,5,0.0005,0.004319642268554749
35,5.0,1,0.0005,0.008454257643248976
36,5.0,2,0.0005,0.0056577728559797655
37,5.0,3,0.0005,0.004590060217916799
38,5.0,4,0.0005,0.004015708433597434
39,5.0,5,0.0005,0.002475328041557983
40,0.25,1,0.001,0.008454166730207031
41,0.25,2,0.001,0.004792719576396874
42,0.25,3,0.001,0.004663693958607295
43,0.25,4,0.001,0.0052429730208797525
44,0.25,5,0.001,0.00684994430395492
45,0.5,1,0.001,0.008454161935610825
46,0.5,2,0.001,0.004787285082151728
