,c_value,gamma_value,mse
0,0.25,0.0001,0.008523467286065168
1,0.5,0.0001,0.008563673262589727
2,1.0,0.0001,0.008562670774055741
3,5.0,0.0001,0.010159829122578177
4,0.25,0.0005,0.01078341486729673
5,0.5,0.0005,0.01323073658052093
6,1.0,0.0005,0.012284115573677597
7,5.0,0.0005,0.010109451315436847
8,0.25,0.001,0.15557213496273203
9,0.5,0.001,0.040555801388946607
10,1.0,0.001,0.1390531212514698
11,5.0,0.001,0.010051990716757362
12,0.25,0.005,0.005154535831957802
13,0.5,0.005,0.03663655664559912
14,1.0,0.005,0.0029623639137307377
15,5.0,0.005,0.009791591924972174
16,0.25,0.01,0.0015642625019137893
17,0.5,0.01,0.0019757929257576776
18,1.0,0.01,0.0020528294193431504
19,5.0,0.01,0.009964086345404822
20,0.25,0.05,2.5015933661429904e-05
21,0.5,0.05,3.245049360453311e-05
22,1.0,0.05,0.0002480778049967072
23,5.0,0.05,0.011324956230820731
24,0.25,0.1,7.588436620116299e-05
25,0.5,0.1,0.001898077420501893
26,1.0,0.1,3.157795317084383e-05
27,5.0,0.1,0.05203036810489513
