,c_value,d_value,gamma_value,mse
0,0.25,1,0.0001,172462265931348.22
1,0.25,2,0.0001,172462344610862.25
2,0.25,3,0.0001,172422046485359.16
3,0.25,4,0.0001,172568103930012.38
4,0.25,5,0.0001,1905651608112483.2
5,0.5,1,0.0001,172462425536099.66
6,0.5,2,0.0001,172462007767848.97
7,0.5,3,0.0001,172423900534585.8
8,0.5,4,0.0001,187916733085601.3
9,0.5,5,0.0001,182500505019890.06
10,1.0,1,0.0001,172462620813928.12
11,1.0,2,0.0001,172462311349680.12
12,1.0,3,0.0001,172454425508893.72
13,1.0,4,0.0001,172556639141701.8
14,1.0,5,0.0001,176443244261831.03
15,5.0,1,0.0001,172460592046415.78
16,5.0,2,0.0001,172462243266360.2
17,5.0,3,0.0001,172382527362920.6
18,5.0,4,0.0001,199547587856799.5
19,5.0,5,0.0001,175868669621403.66
20,0.25,1,0.0005,172462689351692.28
21,0.25,2,0.0005,172462339253909.6
22,0.25,3,0.0005,172427038974463.78
23,0.25,4,0.0005,172481635037563.84
24,0.25,5,0.0005,187370720602484.25
25,0.5,1,0.0005,172459987049843.94
26,0.5,2,0.0005,172462302677534.84
27,0.5,3,0.0005,172510789223592.12
28,0.5,4,0.0005,172036631749829.06
29,0.5,5,0.0005,510393232349583.7
30,1.0,1,0.0005,172461800800021.9
31,1.0,2,0.0005,172462304365897.97
32,1.0,3,0.0005,172465470660773.3
33,1.0,4,0.0005,177573889665151.16
34,1.0,5,0.0005,175639059012871.38
35,5.0,1,0.0005,172462879693335.38
36,5.0,2,0.0005,172462346145126.47
37,5.0,3,0.0005,172462880617783.1
38,5.0,4,0.0005,172604287314633.84
39,5.0,5,0.0005,211969982304733.0
40,0.25,1,0.001,172460948772481.72
41,0.25,2,0.001,172462346510202.7
42,0.25,3,0.001,172453368206884.34
43,0.25,4,0.001,172572402100739.97
44,0.25,5,0.001,207048441189778.25
45,0.5,1,0.001,172463006795969.4
46,0.5,2,0.001,172462492941150.16
47,0.5,3,0.001,180584073529799.16
48,0.5,4,0.001,244503063684817.03
49,0.5,5,0.001,177902129332442.66
50,1.0,1,0.001,172460347170598.16
51,1.0,2,0.001,172462358877186.84
52,1.0,3,0.001,186666124028210.44
53,1.0,4,0.001,172543090936571.9
54,1.0,5,0.001,182649541081976.44
55,5.0,1,0.001,172461361660269.53
56,5.0,2,0.001,172463021328568.12
57,5.0,3,0.001,172470075654224.97
58,5.0,4,0.001,183098134713803.16
59,5.0,5,0.001,181572693734631.06
60,0.25,1,0.005,172462354590143.5
61,0.25,2,0.005,172462318051567.47
62,0.25,3,0.005,172363546251774.78
63,0.25,4,0.005,172464144652542.56
64,0.25,5,0.005,178786773591175.66
65,0.5,1,0.005,172461479264886.78
66,0.5,2,0.005,172462506662548.6
67,0.5,3,0.005,172444519426414.28
68,0.5,4,0.005,172628814182681.8
69,0.5,5,0.005,182980953145686.25
70,1.0,1,0.005,172461689916356.8
71,1.0,2,0.005,172462495183218.53
72,1.0,3,0.005,172453721217413.38
73,1.0,4,0.005,172502197684285.16
74,1.0,5,0.005,267584967904020.8
75,5.0,1,0.005,172461529430668.4
76,5.0,2,0.005,172462334884467.66
77,5.0,3,0.005,172595286316545.28
78,5.0,4,0.005,182289669324862.06
79,5.0,5,0.005,237475298311172.88
80,0.25,1,0.01,172461882600021.44
81,0.25,2,0.01,172462313372711.62
82,0.25,3,0.01,172487134536710.84
83,0.25,4,0.01,172503144336331.78
84,0.25,5,0.01,1.0040309534096852e+16
85,0.5,1,0.01,172462341981906.2
86,0.5,2,0.01,172462326516213.56
87,0.5,3,0.01,172441630483430.38
88,0.5,4,0.01,172811869420247.7
89,0.5,5,0.01,1112493072279542.5
90,1.0,1,0.01,172460208445010.16
91,1.0,2,0.01,172462375309135.1
92,1.0,3,0.01,172469486686542.06
93,1.0,4,0.01,172460430210186.25
94,1.0,5,0.01,181932772013614.03
95,5.0,1,0.01,172462646793979.66
96,5.0,2,0.01,172462012374844.88
97,5.0,3,0.01,172450088756983.03
98,5.0,4,0.01,172939365967988.8
99,5.0,5,0.01,216572992294967.28
100,0.25,1,0.05,172460293049502.34
101,0.25,2,0.05,172462301285413.66
102,0.25,3,0.05,172448772194090.88
103,0.25,4,0.05,172541101547772.38
104,0.25,5,0.05,228019960394568.72
105,0.5,1,0.05,172463602653709.7
106,0.5,2,0.05,172462332306189.44
107,0.5,3,0.05,172497535161146.44
108,0.5,4,0.05,172556053226841.78
109,0.5,5,0.05,171797352130073.44
110,1.0,1,0.05,172466719951965.5
111,1.0,2,0.05,172462342222965.88
112,1.0,3,0.05,172497430115088.7
113,1.0,4,0.05,173081499970674.12
114,1.0,5,0.05,184339957267257.9
115,5.0,1,0.05,172459043918599.6
116,5.0,2,0.05,172462367387153.12
117,5.0,3,0.05,172466338648713.1
118,5.0,4,0.05,172637000410295.06
119,5.0,5,0.05,279682970167562.3
120,0.25,1,0.1,172460981531036.4
121,0.25,2,0.1,172462374899655.7
122,0.25,3,0.1,172461366715717.5
