,c_value,gamma_value,mse
0,0.25,0.0001,543503185949327.6
1,0.5,0.0001,543503877866014.56
2,1.0,0.0001,543503842124726.25
3,5.0,0.0001,543520951309758.8
4,0.25,0.0005,543503695164884.8
5,0.5,0.0005,543503993075037.7
6,1.0,0.0005,543503700168311.94
7,5.0,0.0005,543503017825096.44
8,0.25,0.001,543503969828954.9
9,0.5,0.001,543503948066519.8
10,1.0,0.001,543503535980518.1
11,5.0,0.001,543503017721433.94
12,0.25,0.005,543503145066984.3
13,0.5,0.005,543503096308116.4
14,1.0,0.005,543503047015956.94
15,5.0,0.005,543503017513007.8
16,0.25,0.01,543503020324201.8
17,0.5,0.01,543503019215341.8
18,1.0,0.01,543503018132094.56
19,5.0,0.01,543503017502943.4
20,0.25,0.05,543503017502075.1
21,0.5,0.05,543503017502075.1
22,1.0,0.05,543503017502075.1
23,5.0,0.05,543503017502075.1
24,0.25,0.1,543503017502075.1
25,0.5,0.1,543503017502075.1
26,1.0,0.1,543503017502075.1
27,5.0,0.1,543503017502075.1
