,c_value,d_value,gamma_value,mse
0,0.25,1,0.0001,1.3781112019138555
1,0.25,2,0.0001,1.3721437376592849
2,0.25,3,0.0001,1.356949373529617
3,0.25,4,0.0001,1.3571055926894835
4,0.25,5,0.0001,1.3570497657474656
5,0.5,1,0.0001,1.3781111834125672
6,0.5,2,0.0001,1.3721231707484496
7,0.5,3,0.0001,1.353691263604156
8,0.5,4,0.0001,1.3515250497556979
9,0.5,5,0.0001,1.3471116461551023
10,1.0,1,0.0001,1.378111177185524
11,1.0,2,0.0001,1.3721173054514428
12,1.0,3,0.0001,1.3519914138704614
13,1.0,4,0.0001,1.3469921985410074
14,1.0,5,0.0001,1.3333291547252923
15,5.0,1,0.0001,1.3781111736596237
16,5.0,2,0.0001,1.372114331891692
17,5.0,3,0.0001,1.3508215007811968
18,5.0,4,0.0001,1.341363525659418
19,5.0,5,0.0001,1.3201952998043986
20,0.25,1,0.001,1.3781111774959176
21,0.25,2,0.001,1.372113873873014
22,0.25,3,0.001,1.3497477375331282
23,0.25,4,0.001,1.3329740321923427
24,0.25,5,0.001,1.3276314892782686
25,0.5,1,0.001,1.3781111620383426
26,0.5,2,0.001,1.3721121193661654
27,0.5,3,0.001,1.3495161953989405
28,0.5,4,0.001,1.320703666346711
29,0.5,5,0.001,1.3122951938956413
30,1.0,1,0.001,1.378111157341702
31,1.0,2,0.001,1.3721119429386595
32,1.0,3,0.001,1.3495048380683665
33,1.0,4,0.001,1.3198385139411257
34,1.0,5,0.001,1.3082166046805928
35,5.0,1,0.001,1.3781111550442642
36,5.0,2,0.001,1.3721119133265045
37,5.0,3,0.001,1.3495039965077151
38,5.0,4,0.001,1.3198051900717342
39,5.0,5,0.001,1.3080513572164887
40,0.25,1,0.01,1.3781111770742582
41,0.25,2,0.01,1.3721132076968834
42,0.25,3,0.01,1.349604909395626
43,0.25,4,0.01,1.3249857399607885
44,0.25,5,0.01,1.3231618855319285
45,0.5,1,0.01,1.3781111619242308
46,0.5,2,0.01,1.3721120064002448
47,0.5,3,0.01,1.3495060966852792
48,0.5,4,0.01,1.3198708979959792
49,0.5,5,0.01,1.3084516043978884
50,1.0,1,0.01,1.378111157382119
51,1.0,2,0.01,1.3721119200721175
52,1.0,3,0.01,1.3495040240761726
53,1.0,4,0.01,1.319805529121667
54,1.0,5,0.01,1.308055571692951
55,5.0,1,0.01,1.3781111552088838
56,5.0,2,0.01,1.372111911576845
57,5.0,3,0.01,1.3495039800556419
58,5.0,4,0.01,1.3198050874550535
59,5.0,5,0.01,1.3080554201035473
