,c_value,gamma_value,mse
0,0.25,0.0001,1.361312859474255
1,0.5,0.0001,1.3583470571861704
2,1.0,0.0001,1.3578684284108398
3,5.0,0.0001,1.3919803228705305
4,0.25,0.0005,1.3142571678485238
5,0.5,0.0005,1.3169271544575751
6,1.0,0.0005,1.3267352661199654
7,5.0,0.0005,1.3945425565054754
8,0.25,0.001,1.548116469462173
9,0.5,0.001,1.9969414944470487
10,1.0,0.001,1.346027519538291
11,5.0,0.001,1.396390102273256
12,0.25,0.005,1.3043761162682308
13,0.5,0.005,3.1056874811033257
14,1.0,0.005,1.3025341662636403
15,5.0,0.005,1.394280147543085
16,0.25,0.01,1.28393305291948
17,0.5,0.01,1.2757173440777132
18,1.0,0.01,1.3519606821449697
19,5.0,0.01,1.394214604707101
20,0.25,0.05,1.289382420973995
21,0.5,0.05,5.008058638371185
22,1.0,0.05,1.4053037258155547
23,5.0,0.05,1.394989223611375
24,0.25,0.1,1.3270694762412847
25,0.5,0.1,4.038391205767748
26,1.0,0.1,1.3927525479809555
27,5.0,0.1,1.3948499164144088
